constructorId,position,positionText,points,wins
red_bull,1,1,498.0,9
mclaren,2,2,454.0,5
ferrari,3,3,396.0,5
mercedes,4,4,214.0,0
renault,5,5,163.0,0
williams,6,6,69.0,0
force_india,7,7,68.0,0
sauber,8,8,44.0,0
toro_rosso,9,9,13.0,0
lotus_racing,10,10,0.0,0
hrt,11,11,0.0,0
virgin,12,12,0.0,0
red_bull,1,1,650.0,12
mclaren,2,2,497.0,6
ferrari,3,3,375.0,1
mercedes,4,4,165.0,0
renault,5,5,73.0,0
force_india,6,6,69.0,0
sauber,7,7,44.0,0
toro_rosso,8,8,41.0,0
williams,9,9,5.0,0
lotus_racing,10,10,0.0,0
hrt,11,11,0.0,0
virgin,12,12,0.0,0
red_bull,1,1,460.0,7
ferrari,2,2,400.0,3
mclaren,3,3,378.0,7
lotus_f1,4,4,303.0,1
mercedes,5,5,142.0,1
sauber,6,6,126.0,0
force_india,7,7,109.0,0
williams,8,8,76.0,1
toro_rosso,9,9,26.0,0
caterham,10,10,0.0,0
marussia,11,11,0.0,0
hrt,12,12,0.0,0
red_bull,1,1,596.0,13
mercedes,2,2,360.0,3
ferrari,3,3,354.0,2
lotus_f1,4,4,315.0,1
mclaren,5,5,122.0,0
force_india,6,6,77.0,0
sauber,7,7,57.0,0
toro_rosso,8,8,33.0,0
williams,9,9,5.0,0
marussia,10,10,0.0,0
caterham,11,11,0.0,0
mercedes,1,1,701.0,16
red_bull,2,2,405.0,3
williams,3,3,320.0,0
ferrari,4,4,216.0,0
mclaren,5,5,181.0,0
force_india,6,6,155.0,0
toro_rosso,7,7,30.0,0
lotus_f1,8,8,10.0,0
marussia,9,9,2.0,0
sauber,10,10,0.0,0
caterham,11,11,0.0,0
mercedes,1,1,703.0,16
ferrari,2,2,428.0,3
williams,3,3,257.0,0
red_bull,4,4,187.0,0
force_india,5,5,136.0,0
lotus_f1,6,6,78.0,0
toro_rosso,7,7,67.0,0
sauber,8,8,36.0,0
mclaren,9,9,27.0,0
manor,10,10,0.0,0
mercedes,1,1,765.0,19
red_bull,2,2,468.0,2
ferrari,3,3,398.0,0
force_india,4,4,173.0,0
williams,5,5,138.0,0
mclaren,6,6,76.0,0
toro_rosso,7,7,63.0,0
haas,8,8,29.0,0
renault,9,9,8.0,0
sauber,10,10,2.0,0
manor,11,11,1.0,0
mercedes,1,1,668.0,12
ferrari,2,2,522.0,5
red_bull,3,3,368.0,3
force_india,4,4,187.0,0
williams,5,5,83.0,0
renault,6,6,57.0,0
toro_rosso,7,7,53.0,0
haas,8,8,47.0,0
mclaren,9,9,30.0,0
sauber,10,10,5.0,0
mercedes,1,1,655.0,11
ferrari,2,2,571.0,6
red_bull,3,3,419.0,4
renault,4,4,122.0,0
haas,5,5,93.0,0
mclaren,6,6,62.0,0
force_india,7,7,52.0,0
sauber,8,8,48.0,0
toro_rosso,9,9,33.0,0
williams,10,10,7.0,0
mercedes,1,1,739.0,15
ferrari,2,2,504.0,3
red_bull,3,3,417.0,3
mclaren,4,4,145.0,0
renault,5,5,91.0,0
toro_rosso,6,6,85.0,0
racing_point,7,7,73.0,0
alfa,8,8,57.0,0
haas,9,9,28.0,0
williams,10,10,1.0,0
mercedes,1,1,573.0,13
red_bull,2,2,319.0,2
mclaren,3,3,202.0,0
racing_point,4,4,195.0,1
renault,5,5,181.0,0
ferrari,6,6,131.0,0
alphatauri,7,7,107.0,1
alfa,8,8,8.0,0
haas,9,9,3.0,0
williams,10,10,0.0,0
mercedes,1,1,613.5,9
red_bull,2,2,585.5,11
ferrari,3,3,323.5,0
mclaren,4,4,275.0,1
alpine,5,5,155.0,1
alphatauri,6,6,142.0,0
aston_martin,7,7,77.0,0
williams,8,8,23.0,0
alfa,9,9,13.0,0
haas,10,10,0.0,0
red_bull,1,1,759.0,17
ferrari,2,2,554.0,4
mercedes,3,3,515.0,1
alpine,4,4,173.0,0
mclaren,5,5,159.0,0
alfa,6,6,55.0,0
aston_martin,7,7,55.0,0
haas,8,8,37.0,0
alphatauri,9,9,35.0,0
williams,10,10,8.0,0
